date_iso,fps_moyen,frames
2026-04-22T16:44:22,11.694,242
2026-04-22T16:44:49,11.438,262
2026-04-22T16:45:04,11.862,140
2026-04-22T16:49:24,13.114,864
2026-04-22T16:49:39,10.470,108
2026-04-22T17:02:03,13.206,495
2026-04-22T17:02:15,12.543,103
2026-04-22T17:04:55,12.492,523
2026-04-22T17:05:11,12.074,125
2026-04-22T17:08:41,13.595,551
2026-04-22T17:09:14,15.795,436
2026-04-22T17:10:11,14.253,45
2026-04-22T17:10:41,15.312,382
2026-04-22T17:11:07,17.924,233
2026-04-22T17:11:28,17.960,214
2026-04-22T17:11:41,19.246,192
2026-04-22T17:12:25,15.991,571
2026-04-22T17:12:53,12.414,225
2026-04-22T17:13:16,15.226,175
2026-04-22T17:29:31,4.135,69
2026-04-22T17:30:08,35.843,838
2026-04-22T17:30:19,34.131,289
2026-04-22T17:44:11,26.832,23570
2026-04-22T17:44:52,25.698,276
2026-04-22T17:45:19,15.593,278
2026-04-22T17:46:09,18.242,548
2026-04-22T17:46:27,15.169,151
2026-04-22T17:46:50,16.487,241
2026-04-22T17:47:04,17.654,66
2026-04-22T17:47:35,14.668,304
2026-04-22T17:48:24,15.740,583
2026-04-22T17:49:04,15.303,476
2026-04-22T17:50:17,17.358,1008
2026-04-22T17:50:49,14.476,324
2026-04-22T17:51:05,17.245,132
2026-04-22T18:04:49,4.951,147
2026-04-22T18:05:20,4.826,75
2026-04-22T18:08:37,5.613,395
2026-04-22T18:09:14,6.344,154
2026-04-22T18:12:11,9.429,423
2026-04-22T18:12:45,11.063,143
2026-04-22T18:13:41,9.161,326
